domain,company,stratum,country,vertical,industry_raw,employees,n_article_urls,posts_probed,posts_en,posts_informational,posts_usable,languages,est_usable_total,sample_titles
zerodown.com,ZeroDown,yc,USA,other,Real Estate and Construction,13.0,394,5,5,5,3,en,236,5 Inspiring Interior Design Accounts to Follow on TikTok | 2020 Gift Guide: For the Home-Obsessed Person in Your Life ( | 10 Red Flags To Look Out for When Viewing a Home
edenworkplace.com,Eden,yc,USA,saas,B2B,45.0,374,5,5,2,2,en,150,"Employees Are Happy to Be Back, But Crave Flexibility Above  | Company Event Planning Made Easy | Why Networking Events are Valuable for an Office Manager's C"
renthop.com,RentHop,yc,USA,ecommerce,Real Estate and Construction,9.0,370,5,5,4,4,en,296,"How Compass is Different from Zillow, Redfin, and Typical Br | Exclusive Apartment Listings with Full Address Take Priority | “Ghost listings” and RentHop"
okcredit.in,OkCredit,yc,USA,fintech,Fintech,70.0,351,5,5,5,5,en,351,Is the Income Earned through Interests Taxable under GST? Kn | 10+ Business Ideas for Women in Goa to Start Easily | Cheque Bounce Reasons: Check out the reasons and know how to
zerocater.com,Zerocater,yc,USA,saas,B2B,140.0,341,5,5,4,4,en,273,Creative and Fun Holiday Office Party Ideas | Appeal to Millennials With These Money-Saving Work Perks | How to Enhance Sandwich Offerings at the Office | ZeroCater
ambition.com,Ambition,yc,USA,saas,B2B,55.0,337,5,5,4,3,en,202,The Anatomy of Effective Sales Feedback | The Account Management KPI Index | The Sales Influencer Series Presents: EksAyn Anderson
ticketstumbler.com,Ticket Stumbler,yc,USA,ecommerce,Consumer,2.0,321,5,5,2,2,en,128,Stadium Maps are Up | Brand New – The Archers’ Bows Have Broken | Ticket Sales of the Week
zentail.com,Zentail,yc,USA,ecommerce,B2B,30.0,271,5,5,4,4,en,217,3 Ways to Finance the Growth of Your Amazon Business | Zenta | Which Ecommerce Strategy is Winning During the Coronavirus?  | Amazon Explains How It Defines Price Gouging | Zentail Blog
fond.co,Fond,yc,USA,fintech,B2B,51.0,260,5,5,3,3,en,156,4 Reasons Why Every Manager Should Care About Emotional Inte | The 4 Most Effective Incentives for Employees | Fond | Thank you to our wonderful customers for a great 2019!
ramp.com,Paribus,yc,USA,fintech,Fintech,,244,5,5,3,2,en,98,"Vendor Management Best Practices | Ramp Explains How to Give New Life to Older Videos - RAMP | Just released, Ramp’s 2022 Q2 Spending Benchmarks"
hypercontext.com,Hypercontext,yc,USA,saas,B2B,15.0,229,5,5,5,5,en,229,5 Ways to increase productivity on your team | Remote-first meetings improve productivity and communication | Reward vs Recognition: Engaging and Motivating Employees | S
sketchdeck.com,SketchDeck,yc,USA,saas,B2B,20.0,224,5,5,4,3,en,134,How Top B2B Startups are Creating Case Studies to Turn Leads | What should go in my sales presentation? | 113 New Marketing Tools You Need To Grow In 2016 - Part 7: S
flexfits.com,The Flex Company,yc,USA,ecommerce,Consumer,28.0,222,5,5,5,5,en,222,How to Have a Full-Body Orgasm | The Fornix | Flex™ | 8 fun & unusual virtual date ideas | The Fornix | Flex | 5 indoor workouts to try during your period | The Fornix | F
nanonets.com,NanoNets,yc,USA,devtools,B2B,102.0,217,5,5,4,4,en,174,An In-Depth Guide to Document Management Workflow | Intelligent document processing with AI | Nanonets | Business Process Optimization - A 2022 BPO Guide | Nanonets
rocketrip.com,Rocketrip,yc,USA,fintech,B2B,68.0,214,5,5,4,4,en,171,12 Travel New Year's Resolutions | What to Know About Airbnb for Business Travel | An Open Booking Policy: 6 Reasons Why It's Right for Your Co
chartio.com,Chartio,yc,USA,saas,B2B,40.0,213,5,5,2,2,en,85,Chartio - Blog | Chartio - Blog | Embedded Analytics: What Is It and How Is It Used?
soylent.com,Soylent,yc,USA,ecommerce,Consumer,51.0,213,5,5,3,3,en,128,"How to Improve Your Work-Life Balance: 4 Effective, Underval | Tomorrow’s Food Today | How to Properly Use a Shaker Bottle (and Clean It, Too)"
zeusliving.com,Zeus,yc,USA,other,Real Estate and Construction,200.0,213,5,5,5,5,en,213,Meet Zeus in Utah | What is the Best Time of the Year to Visit Seattle? | Zeus | | 5 Ways to Make Your Short-Term Stay Environmentally Friendly
hackerrank.com,HackerRank,yc,USA,devtools,B2B,300.0,210,5,5,4,3,en,126,3 Reasons You're Not Building Compatible Tech Teams - Hacker | What Does a QA Engineer Do? Role Overview - HackerRank Blog | Forbes: What Startup CEOs Want In A CFO - HackerRank Blog
phoenix.ca,Phoenix,yc,USA,ecommerce,Healthcare,70.0,209,5,5,3,3,en,125,How to Prevent Pimples on the Scalp in Men - PHOENIX | Rise  | What Are the Causes of Sudden Hair Loss? - PHOENIX | Rise Ag | What Causes Penile Fractures? - PHOENIX | Rise Again
theforage.com,Forage,yc,USA,saas,B2B,65.0,201,5,5,4,4,en,161,Have a Remote Internship? Here Are 6 Ways to Stand Out | How to Respond to a Job Interview Email (With Examples) | How to Choose an Accounting Career Path
communityphone.org,Community Phone Company,yc,USA,ecommerce,Consumer,101.0,200,5,5,5,5,en,200,How to Email Pictures from your Phone | How to use WhatsApp on Android and iPhone cell phones | Google Voice: To Use it or Not?
